sourceId,name,adapter,sourceKind,currentAiAllowed,documents,relevantDocuments,usefulDocuments,activeEvents,tatarRelevant,multiDateRelevant,multiAddressRelevant,multiEventRelevant,longRelevant,complexRelevant,aiCompleted,aiFailed,recommendedPolicy,reason
tg-2dab997b9b5b3393,Татмедиа: alekseyevsk.ru · Telegram,telegram,media,False,61,12,4,14,1,2,1,1,0,3,1,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-bcaa4024a724e9d5,Татмедиа: alekseyevsk.ru · Telegram,telegram,media,False,50,4,0,5,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
rss-b5d40ac71e382a8a,Татмедиа: alki-rt.ru,rss,media,False,22,5,0,5,5,0,0,0,0,5,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-171a858e2793bdcb,Татмедиа: alki-rt.ru · Telegram,telegram,media,False,60,4,0,4,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-694423eaaf18c076,Татмедиа: almet-rt.ru,rss,media,False,70,9,2,9,9,0,0,0,0,9,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-0da8d5751d71e1d2,Татмедиа: almet-rt.ru · Telegram,telegram,media,False,91,19,1,19,17,0,2,0,0,17,1,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
rss-76c3910176fc6a15,Татмедиа: almetievsk-ru.ru,rss,media,False,106,26,4,26,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
tg-1ca7541fee55ee6f,Татмедиа: almetievsk-ru.ru · Telegram,telegram,media,False,75,22,4,30,0,1,2,1,0,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-4feb69737a591bcb,Татмедиа: apastovo.ru,rss,media,False,18,2,1,2,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-f8fb7e007e4f7463,Татмедиа: apastovo.ru · Telegram,telegram,media,False,36,1,1,1,1,0,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-f5419fec1e3611fa,Татмедиа: arskmedia.ru,rss,media,False,75,7,2,7,7,0,0,0,0,7,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-c0551178bdf20193,Татмедиа: arskmedia.ru · Telegram,telegram,media,False,54,8,3,8,7,0,0,0,0,7,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
rss-3c365994a5ceaf76,Татмедиа: atnya-rt.ru,rss,media,False,106,9,1,9,8,1,0,0,0,9,1,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-4b471190f90bf960,Татмедиа: atnya-rt.ru · Telegram,telegram,media,False,52,4,0,4,4,1,0,0,0,4,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
rss-2b33b21bc3ed41e6,Татмедиа: aznakaevo-rt.ru,rss,media,False,20,2,0,2,2,0,0,0,0,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-c86b3571b23c2ac0,Татмедиа: baltaci.ru,rss,media,False,109,13,2,13,11,1,0,0,0,11,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-6331d987609eb88e,Татмедиа: baltaci.ru · Telegram,telegram,media,False,62,7,2,7,7,0,0,0,0,7,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
rss-b58a7f10dff8ac87,Татмедиа: bavly-tat.ru,rss,media,False,103,15,6,15,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-4eecce757bf966fb,Татмедиа: bavly-tat.ru · Telegram,telegram,media,False,64,13,1,13,0,2,0,0,1,3,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-cfd69e845195c8ad,Татмедиа: biektaw.ru,rss,media,False,116,20,9,20,0,2,0,0,0,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-c4859e377a4dce61,Татмедиа: biektaw.ru · Telegram,telegram,media,False,55,6,2,7,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
rss-3de5c1484779c5e8,Татмедиа: bugulma-tatarstan.ru,rss,media,False,106,16,7,16,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
tg-9338de44bca31be4,Татмедиа: bugulma-tatarstan.ru · Telegram,telegram,media,False,45,10,0,11,0,0,1,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-174d96e6ae852b25,Татмедиа: buinsk-tat.ru,rss,media,False,98,17,8,17,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-1b6f7669a331279e,Татмедиа: buinsk-tat.ru · Telegram,telegram,media,False,45,8,4,8,1,2,0,0,0,3,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-6fd3d4e2945e2a76,Татмедиа: chelny-izvest.ru,rss,media,False,120,21,7,21,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
tg-05296541bbde9def,Татмедиа: chelny-izvest.ru · Telegram,telegram,media,False,85,19,7,22,0,2,1,1,0,3,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-a8a9dccbc1480c3b,Татмедиа: chelny-rt.ru,rss,media,False,0,0,0,0,0,0,0,0,0,0,0,0,local_only,За окно нет локально значимых публикаций для модельного разбора.
tg-d139458050d8efba,Татмедиа: chelny-rt.ru · Telegram,telegram,media,False,49,0,0,0,0,0,0,0,0,0,0,0,local_only,За окно нет локально значимых публикаций для модельного разбора.
rss-2e3c1bd739c8bddc,Татмедиа: chistopol-rt.ru,rss,media,False,105,14,5,14,0,0,0,0,1,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-64db13b79f5c74f4,Татмедиа: chistopol-rt.ru · Telegram,telegram,media,False,56,9,0,9,0,3,0,0,0,3,0,2,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-4ecee1a04e06f2db,Татмедиа: chuprale-online.ru,rss,media,False,102,16,4,16,0,3,0,0,1,3,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-7d3c58ac0e379080,Татмедиа: chuprale-online.ru · Telegram,telegram,media,False,55,16,5,16,0,4,0,0,0,4,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-9680e1257c94ea35,Татмедиа: kaibicy.ru,rss,media,False,104,16,4,15,0,1,0,0,1,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-834c125e61473c56,Татмедиа: kaibicy.ru · Telegram,telegram,media,False,56,12,0,12,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
rss-239bb216577fc8fe,Татмедиа: kamskoe-ustie.ru,rss,media,False,88,10,6,10,0,1,0,0,1,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-4b6aee1a0b53b526,Татмедиа: kamskoe-ustie.ru · Telegram,telegram,media,False,61,10,5,11,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
rss-cef892201a671dd7,Татмедиа: kukmor-rt.ru,rss,media,False,39,3,1,3,3,0,0,0,0,3,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-9b8189ef5d9e3764,Татмедиа: kukmor-rt.ru · Telegram,telegram,media,False,69,10,1,12,0,2,0,0,0,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-402e324913239dd2,Татмедиа: kunelradio.ru · Telegram,telegram,media,False,82,1,0,1,1,0,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-11c724b917e55980,Татмедиа: laishevskyi.ru,rss,media,False,115,19,9,19,0,3,1,0,2,5,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-b85b6d88a12c4a59,Татмедиа: laishevskyi.ru · Telegram,telegram,media,False,48,7,4,8,0,0,1,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-22334a08aa7c164b,Татмедиа: leninogorsk-rt.ru,rss,media,False,104,18,9,18,0,1,0,0,1,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-4e06f06c6e3eea26,Татмедиа: leninogorsk-rt.ru · Telegram,telegram,media,False,65,8,5,8,0,2,1,0,0,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-1fc958a2abb10774,Татмедиа: mamadysh-rt.ru,rss,media,False,106,22,10,22,0,3,0,0,0,3,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-1a7964d9f16642e2,Татмедиа: mamadysh-rt.ru · Telegram,telegram,media,False,57,10,4,11,0,0,0,0,1,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-49600a6eca3192aa,Татмедиа: mendeleevskyi.ru,rss,media,False,106,14,9,14,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-70caca3a88157619,Татмедиа: mendeleevskyi.ru · Telegram,telegram,media,False,47,6,3,6,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-09e37d6130e1c999,Татмедиа: menzela.ru,rss,media,False,108,10,7,10,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-93af88c70d13df42,Татмедиа: menzela.ru · Telegram,telegram,media,False,63,11,2,12,0,0,1,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-0241a87d8b46ddee,Татмедиа: muslumirc.ru,rss,media,False,106,6,0,6,5,0,0,0,0,5,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-ffc56d3f28be6314,Татмедиа: muslumirc.ru · Telegram,telegram,media,False,43,6,0,6,6,0,0,0,0,6,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
rss-400f2de1e93dd998,Татмедиа: nashcheremshan.ru,rss,media,False,43,7,1,7,6,0,0,0,0,6,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-89be5f9c0fe040d6,Татмедиа: nashcheremshan.ru · Telegram,telegram,media,False,72,11,2,12,1,3,1,0,0,4,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-f733da304cae4146,Татмедиа: nizhnekamsk-rt.ru,rss,media,False,99,12,4,12,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
tg-eeaeb4fc54324d0e,Татмедиа: nizhnekamsk-rt.ru · Telegram,telegram,media,False,50,11,0,11,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
rss-6fe647d6c5be21d4,Татмедиа: novoshishminsk.ru,rss,media,False,93,15,9,15,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-7b98d72377ed4129,Татмедиа: novoshishminsk.ru · Telegram,telegram,media,False,44,7,1,8,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
tg-f6508170a98e59c3,Татмедиа: ntr-24.ru · Telegram,telegram,media,False,66,19,6,20,0,1,4,1,0,5,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-083532199f238100,Татмедиа: nurlat-tat.ru,rss,media,False,110,20,10,20,0,3,0,0,1,4,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-157349a6d926b5b3,Татмедиа: nurlat-tat.ru · Telegram,telegram,media,False,50,8,3,9,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-7187a4032f7bb86b,Татмедиа: pestrecy-rt.ru,rss,media,False,111,14,4,14,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-16646eecb99ff226,Татмедиа: pestrecy-rt.ru · Telegram,telegram,media,False,73,11,0,11,0,1,0,0,2,3,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-fb6ebb61f1d4d369,Татмедиа: rsloboda-rt.ru,rss,media,False,121,15,2,15,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-4f40a89e06af3df4,Татмедиа: rsloboda-rt.ru · Telegram,telegram,media,False,98,13,3,13,1,0,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-ce9da004e6432932,Татмедиа: saby-rt.ru,rss,media,False,105,7,1,7,6,0,0,0,0,6,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-68ca44037efce88e,Татмедиа: saby-rt.ru · Telegram,telegram,media,False,33,5,1,5,5,0,0,0,0,5,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
rss-01d6bb77f47ae172,Татмедиа: sarman-rt.ru,rss,media,False,52,7,0,7,7,0,0,0,0,7,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-78e4802b842ee6ab,Татмедиа: sarman-rt.ru · Telegram,telegram,media,False,58,7,0,7,2,0,0,0,0,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-4a0676cee1f7bebf,Татмедиа: shahrichalli.ru,rss,media,False,98,8,1,8,8,0,1,0,0,8,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-75a07829c76903e0,Татмедиа: shahrichalli.ru · Telegram,telegram,media,False,82,6,0,6,5,0,0,0,0,5,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
rss-c5e21683dabb0045,Татмедиа: spas-rt.ru,rss,media,False,97,11,5,11,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
rss-2fc4dc2ca53e2dff,Татмедиа: tetyushy.ru,rss,media,False,109,17,6,17,0,4,0,0,0,4,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-295f7bc87654b20a,Татмедиа: tetyushy.ru · Telegram,telegram,media,False,50,4,2,4,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
rss-8717af6408173978,Татмедиа: tukai-rt.ru,rss,media,False,72,10,3,10,10,0,0,0,0,10,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-126fc2525de649a3,Татмедиа: tukai-rt.ru · Telegram,telegram,media,False,53,9,3,11,0,0,1,1,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-868913f796462114,Татмедиа: tulachi.ru,rss,media,False,108,12,2,12,11,1,0,0,0,12,1,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-d732c1e6be3b0ddc,Татмедиа: tulachi.ru · Telegram,telegram,media,False,46,9,1,9,5,1,0,0,0,5,0,1,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-ecb65bb8a9db62c2,Татмедиа: tvchelny.ru,rss,media,False,64,15,6,15,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
tg-f1232eeddc21e7e3,Татмедиа: tvchelny.ru · Telegram,telegram,media,False,49,8,3,9,0,2,0,0,0,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-9625df0f2d51b3dd,Татмедиа: vuslon.ru,rss,media,False,115,16,8,35,0,3,2,1,0,4,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-81459f63d2581534,Татмедиа: vuslon.ru · Telegram,telegram,media,False,47,7,1,7,0,3,0,0,0,3,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-ad6d9af675389326,Татмедиа: yashel-uzan.ru,rss,media,False,112,12,1,12,12,1,0,0,0,12,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-541fd0a200553ffc,Татмедиа: yashel-uzan.ru · Telegram,telegram,media,False,59,9,1,10,9,0,0,0,0,9,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
rss-680e6b3322303d1c,Татмедиа: yutazy.ru,rss,media,False,111,9,3,9,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-8ff7a9c6627f011a,Татмедиа: zainsk-inform.ru,rss,media,False,110,17,9,17,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-bb41dd3f23c28c32,Татмедиа: zainsk-inform.ru · Telegram,telegram,media,False,67,6,2,6,0,1,0,0,0,1,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-e8ab17f92876e3cf,Татмедиа: zamansulyshy.ru,rss,media,False,110,8,2,8,8,0,0,0,0,8,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
tg-f442e0e4ed61ec67,Татмедиа: zamansulyshy.ru · Telegram,telegram,media,False,85,8,1,8,5,0,0,0,0,5,0,0,permanent_ai,Большинство релевантных публикаций на татарском: нужны перевод и семантическое разделение событий.
rss-f1253a682b776dab,Татмедиа: zpravda.ru,rss,media,False,112,13,6,13,0,1,0,0,1,2,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-969fd144ca2f80c1,Татмедиа: zpravda.ru · Telegram,telegram,media,False,60,15,4,24,3,1,1,1,0,5,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
tg-166cef01798f1fe8,Университет Иннополис · Telegram,telegram,media,False,47,19,2,19,0,3,0,0,0,3,0,0,conditional_ai,"Модель нужна только для татарского текста, нескольких событий, дат, адресов или длинного материала."
rss-fbdcfb940904f11a,город Набережные Челны — официальный сайт,rss,official,False,11,1,1,1,0,0,0,0,0,0,0,0,local_only,Короткие русскоязычные публикации устойчиво разбираются локальными правилами.
